date,cat_id,units_sold
2020-01-20,Category_8,2710
2020-01-21,Category_1,3458
2020-01-21,Category_2,3576
2020-01-21,Category_3,1836
2020-01-21,Category_4,1774
2020-01-21,Category_5,5055
2020-01-21,Category_6,2615
2020-01-21,Category_7,2796
2020-01-21,Category_8,2702
2020-01-22,Category_1,3628
2020-01-22,Category_2,3517
2020-01-22,Category_3,1831
2020-01-22,Category_4,1716
2020-01-22,Category_5,5211
2020-01-22,Category_6,2646
2020-01-22,Category_7,2693
2020-01-22,Category_8,2658
2020-01-23,Category_1,3714
2020-01-23,Category_2,3530
2020-01-23,Category_3,1804
2020-01-23,Category_4,1801
2020-01-23,Category_5,5302
2020-01-23,Category_6,2756
2020-01-23,Category_7,2848
2020-01-23,Category_8,2781
2020-01-24,Category_1,3552
2020-01-24,Category_2,3505
2020-01-24,Category_3,1899
2020-01-24,Category_4,1723
2020-01-24,Category_5,5336
2020-01-24,Category_6,2722
2020-01-24,Category_7,2868
2020-01-24,Category_8,2719
2020-01-25,Category_1,4714
2020-01-25,Category_2,4569
2020-01-25,Category_3,2382
2020-01-25,Category_4,2269
2020-01-25,Category_5,6996
2020-01-25,Category_6,3571
2020-01-25,Category_7,3864
2020-01-25,Category_8,3567
2020-01-26,Category_1,4859
2020-01-26,Category_2,4639
2020-01-26,Category_3,2518
2020-01-26,Category_4,2308
2020-01-26,Category_5,6759
2020-01-26,Category_6,3525
2020-01-26,Category_7,3735
2020-01-26,Category_8,3498
2020-01-27,Category_1,3697
2020-01-27,Category_2,3636
2020-01-27,Category_3,1895
2020-01-27,Category_4,1740
2020-01-27,Category_5,5255
2020-01-27,Category_6,2747
2020-01-27,Category_7,2892
2020-01-27,Category_8,2745
2020-01-28,Category_1,3680
2020-01-28,Category_2,3586
2020-01-28,Category_3,1972
2020-01-28,Category_4,1783
2020-01-28,Category_5,5368
2020-01-28,Category_6,2710
2020-01-28,Category_7,2825
2020-01-28,Category_8,2848
2020-01-29,Category_1,3738
2020-01-29,Category_2,3590
2020-01-29,Category_3,1860
2020-01-29,Category_4,1866
2020-01-29,Category_5,5455
2020-01-29,Category_6,2762
2020-01-29,Category_7,2975
2020-01-29,Category_8,2808
2020-01-30,Category_1,3673
2020-01-30,Category_2,3646
2020-01-30,Category_3,1887
2020-01-30,Category_4,1807
2020-01-30,Category_5,5441
2020-01-30,Category_6,2751
2020-01-30,Category_7,2925
2020-01-30,Category_8,2823
2020-01-31,Category_1,3819
2020-01-31,Category_2,3641
2020-01-31,Category_3,1911
2020-01-31,Category_4,1850
2020-01-31,Category_5,5416
2020-01-31,Category_6,2770
2020-01-31,Category_7,2949
2020-01-31,Category_8,2876
2020-02-01,Category_1,4998
2020-02-01,Category_2,4763
2020-02-01,Category_3,2591
2020-02-01,Category_4,2457
2020-02-01,Category_5,7076
2020-02-01,Category_6,3617
2020-02-01,Category_7,3872
2020-02-01,Category_8,3748
2020-02-02,Category_1,4909
2020-02-02,Category_2,4729
2020-02-02,Category_3,2398
2020-02-02,Category_4,2427
2020-02-02,Category_5,7104
2020-02-02,Category_6,3696
2020-02-02,Category_7,3916
2020-02-02,Category_8,3688
2020-02-03,Category_1,3803
2020-02-03,Category_2,3798
2020-02-03,Category_3,1929
2020-02-03,Category_4,1901
2020-02-03,Category_5,5557
2020-02-03,Category_6,2892
2020-02-03,Category_7,3028
2020-02-03,Category_8,2898
2020-02-04,Category_1,3759
2020-02-04,Category_2,3788
2020-02-04,Category_3,1979
2020-02-04,Category_4,1896
2020-02-04,Category_5,5523
2020-02-04,Category_6,2884
2020-02-04,Category_7,3042
2020-02-04,Category_8,2879
2020-02-05,Category_1,3849
2020-02-05,Category_2,3729
2020-02-05,Category_3,1978
2020-02-05,Category_4,1913
2020-02-05,Category_5,5646
2020-02-05,Category_6,2828
2020-02-05,Category_7,2909
2020-02-05,Category_8,2932
2020-02-06,Category_1,3858
2020-02-06,Category_2,3787
2020-02-06,Category_3,2008
2020-02-06,Category_4,1843
2020-02-06,Category_5,5708
2020-02-06,Category_6,2920
2020-02-06,Category_7,3157
2020-02-06,Category_8,2914
2020-02-07,Category_1,3797
2020-02-07,Category_2,3905
2020-02-07,Category_3,1949
2020-02-07,Category_4,1896
2020-02-07,Category_5,5734
2020-02-07,Category_6,2876
2020-02-07,Category_7,3011
2020-02-07,Category_8,2964
2020-02-08,Category_1,5031
2020-02-08,Category_2,4841
2020-02-08,Category_3,2548
2020-02-08,Category_4,2444
2020-02-08,Category_5,7484
2020-02-08,Category_6,3693
2020-02-08,Category_7,3923
2020-02-08,Category_8,3895
2020-02-09,Category_1,5136
2020-02-09,Category_2,4905
2020-02-09,Category_3,2530
2020-02-09,Category_4,2525
2020-02-09,Category_5,7326
2020-02-09,Category_6,3889
2020-02-09,Category_7,4028
2020-02-09,Category_8,3879
2020-02-10,Category_1,3933
2020-02-10,Category_2,3872
2020-02-10,Category_3,1974
2020-02-10,Category_4,1937
2020-02-10,Category_5,5640
2020-02-10,Category_6,2980
2020-02-10,Category_7,3040
2020-02-10,Category_8,2923
2020-02-11,Category_1,4022
2020-02-11,Category_2,3888
2020-02-11,Category_3,2042
2020-02-11,Category_4,1981
2020-02-11,Category_5,5712
2020-02-11,Category_6,2941
2020-02-11,Category_7,3097
2020-02-11,Category_8,3020
2020-02-12,Category_1,3867
2020-02-12,Category_2,3841
2020-02-12,Category_3,2066
2020-02-12,Category_4,1952
2020-02-12,Category_5,5892
2020-02-12,Category_6,2996
2020-02-12,Category_7,3010
2020-02-12,Category_8,2983
2020-02-13,Category_1,3962
2020-02-13,Category_2,3769
2020-02-13,Category_3,2046
2020-02-13,Category_4,1978
2020-02-13,Category_5,5789
2020-02-13,Category_6,2986
2020-02-13,Category_7,3060
2020-02-13,Category_8,3092
2020-02-14,Category_1,4054
2020-02-14,Category_2,3922
2020-02-14,Category_3,2064
2020-02-14,Category_4,2016
2020-02-14,Category_5,5781
2020-02-14,Category_6,3030
2020-02-14,Category_7,3206
2020-02-14,Category_8,3058
2020-02-15,Category_1,5102
2020-02-15,Category_2,5116
2020-02-15,Category_3,2613
2020-02-15,Category_4,2479
2020-02-15,Category_5,7667
2020-02-15,Category_6,4035
2020-02-15,Category_7,4217
2020-02-15,Category_8,3802
2020-02-16,Category_1,5325
2020-02-16,Category_2,5004
2020-02-16,Category_3,2666
2020-02-16,Category_4,2580
2020-02-16,Category_5,7901
2020-02-16,Category_6,4022
2020-02-16,Category_7,4115
2020-02-16,Category_8,3941
2020-02-17,Category_1,4069
2020-02-17,Category_2,3920
2020-02-17,Category_3,2131
2020-02-17,Category_4,1894
2020-02-17,Category_5,5872
2020-02-17,Category_6,2946
2020-02-17,Category_7,3102
2020-02-17,Category_8,3070
2020-02-18,Category_1,4078
2020-02-18,Category_2,3996
2020-02-18,Category_3,2155
2020-02-18,Category_4,2035
2020-02-18,Category_5,5990
2020-02-18,Category_6,3055
2020-02-18,Category_7,3210
2020-02-18,Category_8,3129
2020-02-19,Category_1,4043
2020-02-19,Category_2,4046
2020-02-19,Category_3,2088
2020-02-19,Category_4,2001
2020-02-19,Category_5,6021
2020-02-19,Category_6,3051
2020-02-19,Category_7,3211
2020-02-19,Category_8,3122
2020-02-20,Category_1,4050
2020-02-20,Category_2,4058
2020-02-20,Category_3,2082
2020-02-20,Category_4,2061
2020-02-20,Category_5,5926
2020-02-20,Category_6,3029
2020-02-20,Category_7,3340
2020-02-20,Category_8,3051
2020-02-21,Category_1,4054
2020-02-21,Category_2,3942
2020-02-21,Category_3,2090
2020-02-21,Category_4,2036
2020-02-21,Category_5,5868
2020-02-21,Category_6,3091
2020-02-21,Category_7,3249
2020-02-21,Category_8,3078
2020-02-22,Category_1,5400
2020-02-22,Category_2,5124
2020-02-22,Category_3,2766
2020-02-22,Category_4,2706
2020-02-22,Category_5,7821
2020-02-22,Category_6,4002
2020-02-22,Category_7,4266
2020-02-22,Category_8,4081
2020-02-23,Category_1,5488
2020-02-23,Category_2,5367
2020-02-23,Category_3,2756
2020-02-23,Category_4,2560
2020-02-23,Category_5,7694
2020-02-23,Category_6,4055
2020-02-23,Category_7,3989
2020-02-23,Category_8,4060
2020-02-24,Category_1,4332
2020-02-24,Category_2,4046
2020-02-24,Category_3,2155
2020-02-24,Category_4,2002
2020-02-24,Category_5,6138
2020-02-24,Category_6,3104
2020-02-24,Category_7,3192
2020-02-24,Category_8,3187
2020-02-25,Category_1,4190
2020-02-25,Category_2,3972
2020-02-25,Category_3,2127
2020-02-25,Category_4,2049
2020-02-25,Category_5,6102
2020-02-25,Category_6,3117
2020-02-25,Category_7,3295
2020-02-25,Category_8,3189
2020-02-26,Category_1,4091
2020-02-26,Category_2,4042
2020-02-26,Category_3,2141
2020-02-26,Category_4,2033
2020-02-26,Category_5,6128
2020-02-26,Category_6,3086
2020-02-26,Category_7,3211
2020-02-26,Category_8,3093
2020-02-27,Category_1,4155
2020-02-27,Category_2,4099
2020-02-27,Category_3,2222
2020-02-27,Category_4,2050
2020-02-27,Category_5,6101
2020-02-27,Category_6,3180
2020-02-27,Category_7,3318
2020-02-27,Category_8,3108
2020-02-28,Category_1,4232
2020-02-28,Category_2,4098
2020-02-28,Category_3,2125
2020-02-28,Category_4,1993
2020-02-28,Category_5,6211
2020-02-28,Category_6,3081
2020-02-28,Category_7,3283
2020-02-28,Category_8,3170
2020-02-29,Category_1,5478
2020-02-29,Category_2,5302
2020-02-29,Category_3,2701
2020-02-29,Category_4,2703
2020-02-29,Category_5,7830
2020-02-29,Category_6,4094
2020-02-29,Category_7,4290
2020-02-29,Category_8,4107
2020-03-01,Category_1,5512
2020-03-01,Category_2,5302
2020-03-01,Category_3,2845
2020-03-01,Category_4,2718
2020-03-01,Category_5,8001
2020-03-01,Category_6,4137
2020-03-01,Category_7,4432
2020-03-01,Category_8,4295
2020-03-02,Category_1,4283
2020-03-02,Category_2,4104
2020-03-02,Category_3,2153
2020-03-02,Category_4,2049
2020-03-02,Category_5,6303
2020-03-02,Category_6,3145
2020-03-02,Category_7,3369
2020-03-02,Category_8,3217
2020-03-03,Category_1,4307
2020-03-03,Category_2,4014
2020-03-03,Category_3,2213
2020-03-03,Category_4,2027
2020-03-03,Category_5,6244
2020-03-03,Category_6,3110
2020-03-03,Category_7,3336
2020-03-03,Category_8,3141
2020-03-04,Category_1,4211
2020-03-04,Category_2,4315
2020-03-04,Category_3,2247
2020-03-04,Category_4,2093
2020-03-04,Category_5,6140
2020-03-04,Category_6,3216
2020-03-04,Category_7,3306
2020-03-04,Category_8,3235
2020-03-05,Category_1,4178
2020-03-05,Category_2,4246
2020-03-05,Category_3,2175
2020-03-05,Category_4,2063
2020-03-05,Category_5,6312
2020-03-05,Category_6,3244
2020-03-05,Category_7,3461
2020-03-05,Category_8,3179
2020-03-06,Category_1,4217
2020-03-06,Category_2,4236
2020-03-06,Category_3,2125
2020-03-06,Category_4,2174
2020-03-06,Category_5,6255
2020-03-06,Category_6,3230
2020-03-06,Category_7,3392
2020-03-06,Category_8,3210
2020-03-07,Category_1,5501
2020-03-07,Category_2,5573
2020-03-07,Category_3,2881
2020-03-07,Category_4,2721
2020-03-07,Category_5,7924
2020-03-07,Category_6,4202
2020-03-07,Category_7,4424
2020-03-07,Category_8,4223
2020-03-08,Category_1,5581
2020-03-08,Category_2,5605
2020-03-08,Category_3,2907
2020-03-08,Category_4,2744
2020-03-08,Category_5,7962
2020-03-08,Category_6,4159
2020-03-08,Category_7,4308
2020-03-08,Category_8,4354
2020-03-09,Category_1,4344
2020-03-09,Category_2,4116
2020-03-09,Category_3,2198
2020-03-09,Category_4,2114
2020-03-09,Category_5,6310
2020-03-09,Category_6,3318
2020-03-09,Category_7,3367
2020-03-09,Category_8,3236
2020-03-10,Category_1,4370
2020-03-10,Category_2,4310
2020-03-10,Category_3,2233
2020-03-10,Category_4,2142
2020-03-10,Category_5,6257
2020-03-10,Category_6,3321
2020-03-10,Category_7,3467
2020-03-10,Category_8,3182
2020-03-11,Category_1,4343
2020-03-11,Category_2,4243
2020-03-11,Category_3,2218
2020-03-11,Category_4,2148
2020-03-11,Category_5,6147
2020-03-11,Category_6,3278
2020-03-11,Category_7,3299
2020-03-11,Category_8,3376
2020-03-12,Category_1,4354
2020-03-12,Category_2,4348
2020-03-12,Category_3,2271
2020-03-12,Category_4,2144
2020-03-12,Category_5,6166
2020-03-12,Category_6,3178
2020-03-12,Category_7,3355
2020-03-12,Category_8,3324
2020-03-13,Category_1,4520
2020-03-13,Category_2,4264
2020-03-13,Category_3,2198
2020-03-13,Category_4,2016
2020-03-13,Category_5,6344
2020-03-13,Category_6,3212
2020-03-13,Category_7,3348
2020-03-13,Category_8,3370
2020-03-14,Category_1,5577
2020-03-14,Category_2,5533
2020-03-14,Category_3,2935
2020-03-14,Category_4,2798
2020-03-14,Category_5,8105
2020-03-14,Category_6,4232
2020-03-14,Category_7,4417
2020-03-14,Category_8,4276
2020-03-15,Category_1,5622
2020-03-15,Category_2,5628
2020-03-15,Category_3,2727
2020-03-15,Category_4,2821
2020-03-15,Category_5,8078
2020-03-15,Category_6,4257
2020-03-15,Category_7,4569
2020-03-15,Category_8,4178
2020-03-16,Category_1,4380
2020-03-16,Category_2,4273
2020-03-16,Category_3,2287
2020-03-16,Category_4,2177
2020-03-16,Category_5,6283
2020-03-16,Category_6,3276
2020-03-16,Category_7,3360
2020-03-16,Category_8,3285
2020-03-17,Category_1,4400
2020-03-17,Category_2,4332
2020-03-17,Category_3,2288
2020-03-17,Category_4,2165
2020-03-17,Category_5,6395
2020-03-17,Category_6,3316
2020-03-17,Category_7,3481
2020-03-17,Category_8,3327
2020-03-18,Category_1,4386
2020-03-18,Category_2,4271
2020-03-18,Category_3,2191
2020-03-18,Category_4,2101
2020-03-18,Category_5,6469
2020-03-18,Category_6,3190
2020-03-18,Category_7,3447
2020-03-18,Category_8,3351
2020-03-19,Category_1,4499
2020-03-19,Category_2,4341
2020-03-19,Category_3,2292
2020-03-19,Category_4,2160
2020-03-19,Category_5,6218
2020-03-19,Category_6,3271
2020-03-19,Category_7,3425
2020-03-19,Category_8,3173
2020-03-20,Category_1,4429
2020-03-20,Category_2,4459
2020-03-20,Category_3,2258
2020-03-20,Category_4,2076
2020-03-20,Category_5,6427
2020-03-20,Category_6,3262
2020-03-20,Category_7,3475
2020-03-20,Category_8,3301
2020-03-21,Category_1,5765
2020-03-21,Category_2,5560
2020-03-21,Category_3,2974
2020-03-21,Category_4,2832
2020-03-21,Category_5,8367
2020-03-21,Category_6,4272
2020-03-21,Category_7,4449
2020-03-21,Category_8,4378
2020-03-22,Category_1,5706
2020-03-22,Category_2,5578
2020-03-22,Category_3,2832
2020-03-22,Category_4,2789
2020-03-22,Category_5,8220
2020-03-22,Category_6,4259
2020-03-22,Category_7,4547
2020-03-22,Category_8,4339
2020-03-23,Category_1,4380
2020-03-23,Category_2,4324
2020-03-23,Category_3,2216
2020-03-23,Category_4,2202
2020-03-23,Category_5,6440
2020-03-23,Category_6,3307
2020-03-23,Category_7,3463
2020-03-23,Category_8,3278
2020-03-24,Category_1,4486
2020-03-24,Category_2,4340
2020-03-24,Category_3,2348
2020-03-24,Category_4,2143
2020-03-24,Category_5,6502
2020-03-24,Category_6,3312
2020-03-24,Category_7,3454
2020-03-24,Category_8,3325
2020-03-25,Category_1,4582
2020-03-25,Category_2,4420
2020-03-25,Category_3,2277
2020-03-25,Category_4,2241
2020-03-25,Category_5,6288
2020-03-25,Category_6,3436
2020-03-25,Category_7,3307
2020-03-25,Category_8,3332
2020-03-26,Category_1,4474
2020-03-26,Category_2,4317
2020-03-26,Category_3,2121
2020-03-26,Category_4,2206
2020-03-26,Category_5,6334
2020-03-26,Category_6,3271
2020-03-26,Category_7,3442
2020-03-26,Category_8,3219
2020-03-27,Category_1,4459
2020-03-27,Category_2,4358
2020-03-27,Category_3,2296
2020-03-27,Category_4,2141
2020-03-27,Category_5,6396
2020-03-27,Category_6,3320
2020-03-27,Category_7,3324
2020-03-27,Category_8,3323
2020-03-28,Category_1,5789
2020-03-28,Category_2,5562
2020-03-28,Category_3,2973
2020-03-28,Category_4,2828
2020-03-28,Category_5,8349
2020-03-28,Category_6,4229
2020-03-28,Category_7,4375
2020-03-28,Category_8,4400
2020-03-29,Category_1,5676
2020-03-29,Category_2,5494
2020-03-29,Category_3,3008
2020-03-29,Category_4,2795
2020-03-29,Category_5,8293
2020-03-29,Category_6,4242
2020-03-29,Category_7,4643
2020-03-29,Category_8,4435
2020-03-30,Category_1,4421
2020-03-30,Category_2,4333
2020-03-30,Category_3,2302
2020-03-30,Category_4,2185
2020-03-30,Category_5,6582
2020-03-30,Category_6,3301
2020-03-30,Category_7,3445
2020-03-30,Category_8,3241
2020-03-31,Category_1,4520
2020-03-31,Category_2,4380
2020-03-31,Category_3,2354
2020-03-31,Category_4,2181
2020-03-31,Category_5,6412
2020-03-31,Category_6,3276
2020-03-31,Category_7,3408
2020-03-31,Category_8,3385
2020-04-01,Category_1,4365
2020-04-01,Category_2,4468
2020-04-01,Category_3,2214
2020-04-01,Category_4,2173
2020-04-01,Category_5,6340
2020-04-01,Category_6,3356
2020-04-01,Category_7,3383
2020-04-01,Category_8,3296
2020-04-02,Category_1,4423
2020-04-02,Category_2,4303
2020-04-02,Category_3,2273
2020-04-02,Category_4,2156
2020-04-02,Category_5,6356
2020-04-02,Category_6,3412
2020-04-02,Category_7,3402
2020-04-02,Category_8,3266
2020-04-03,Category_1,4440
2020-04-03,Category_2,4432
2020-04-03,Category_3,2425
2020-04-03,Category_4,2166
2020-04-03,Category_5,6427
2020-04-03,Category_6,3294
2020-04-03,Category_7,3556
2020-04-03,Category_8,3334
2020-04-04,Category_1,5887
2020-04-04,Category_2,5702
2020-04-04,Category_3,2980
2020-04-04,Category_4,2845
2020-04-04,Category_5,8321
2020-04-04,Category_6,4303
2020-04-04,Category_7,4535
2020-04-04,Category_8,4309
2020-04-05,Category_1,5734
2020-04-05,Category_2,5647
2020-04-05,Category_3,2980
2020-04-05,Category_4,2891
2020-04-05,Category_5,8204
2020-04-05,Category_6,4278
2020-04-05,Category_7,4503
2020-04-05,Category_8,4286
2020-04-06,Category_1,4492
2020-04-06,Category_2,4305
2020-04-06,Category_3,2295
2020-04-06,Category_4,2155
2020-04-06,Category_5,6584
2020-04-06,Category_6,3224
2020-04-06,Category_7,3589
2020-04-06,Category_8,3323
2020-04-07,Category_1,4397
2020-04-07,Category_2,4441
2020-04-07,Category_3,2257
2020-04-07,Category_4,2166
2020-04-07,Category_5,6448
2020-04-07,Category_6,3350
2020-04-07,Category_7,3476
2020-04-07,Category_8,3337
2020-04-08,Category_1,4540
2020-04-08,Category_2,4405
2020-04-08,Category_3,2260
2020-04-08,Category_4,2272
2020-04-08,Category_5,6259
2020-04-08,Category_6,3286
2020-04-08,Category_7,3489
2020-04-08,Category_8,3175
2020-04-09,Category_1,4431
2020-04-09,Category_2,4268
2020-04-09,Category_3,2295
2020-04-09,Category_4,2158
2020-04-09,Category_5,6370
2020-04-09,Category_6,3243
2020-04-09,Category_7,3400
2020-04-09,Category_8,3363
2020-04-10,Category_1,4543
2020-04-10,Category_2,4216
2020-04-10,Category_3,2273
2020-04-10,Category_4,2098
2020-04-10,Category_5,6588
2020-04-10,Category_6,3326
2020-04-10,Category_7,3466
2020-04-10,Category_8,3327
2020-04-11,Category_1,5742
2020-04-11,Category_2,5803
2020-04-11,Category_3,2930
2020-04-11,Category_4,2836
2020-04-11,Category_5,8464
2020-04-11,Category_6,4305
2020-04-11,Category_7,4590
2020-04-11,Category_8,4385
2020-04-12,Category_1,5826
2020-04-12,Category_2,5606
2020-04-12,Category_3,3017
2020-04-12,Category_4,2834
2020-04-12,Category_5,8324
2020-04-12,Category_6,4252
2020-04-12,Category_7,4490
2020-04-12,Category_8,4345
2020-04-13,Category_1,4407
2020-04-13,Category_2,4162
2020-04-13,Category_3,2328
2020-04-13,Category_4,2240
2020-04-13,Category_5,6372
2020-04-13,Category_6,3167
2020-04-13,Category_7,3506
2020-04-13,Category_8,3294
2020-04-14,Category_1,4484
2020-04-14,Category_2,4364
2020-04-14,Category_3,2334
2020-04-14,Category_4,2195
2020-04-14,Category_5,6484
2020-04-14,Category_6,3253
2020-04-14,Category_7,3454
2020-04-14,Category_8,3249
2020-04-15,Category_1,4447
2020-04-15,Category_2,4276
2020-04-15,Category_3,2283
2020-04-15,Category_4,2184
2020-04-15,Category_5,6412
2020-04-15,Category_6,3291
2020-04-15,Category_7,3377
2020-04-15,Category_8,3213
2020-04-16,Category_1,4455
2020-04-16,Category_2,4311
2020-04-16,Category_3,2198
2020-04-16,Category_4,2172
2020-04-16,Category_5,6357
2020-04-16,Category_6,3319
2020-04-16,Category_7,3425
2020-04-16,Category_8,3287
2020-04-17,Category_1,4371
2020-04-17,Category_2,4377
2020-04-17,Category_3,2250
2020-04-17,Category_4,2090
2020-04-17,Category_5,6363
2020-04-17,Category_6,3270
2020-04-17,Category_7,3372
2020-04-17,Category_8,3253
2020-04-18,Category_1,5549
2020-04-18,Category_2,5468
2020-04-18,Category_3,2908
2020-04-18,Category_4,2696
2020-04-18,Category_5,8178
2020-04-18,Category_6,4262
2020-04-18,Category_7,4558
2020-04-18,Category_8,4519
2020-04-19,Category_1,5690
2020-04-19,Category_2,5541
2020-04-19,Category_3,3033
2020-04-19,Category_4,2763
2020-04-19,Category_5,8426
2020-04-19,Category_6,4252
2020-04-19,Category_7,4331
2020-04-19,Category_8,4453
2020-04-20,Category_1,4455
2020-04-20,Category_2,4418
2020-04-20,Category_3,2281
2020-04-20,Category_4,2093
2020-04-20,Category_5,6185
2020-04-20,Category_6,3240
2020-04-20,Category_7,3482
2020-04-20,Category_8,3290
2020-04-21,Category_1,4433
2020-04-21,Category_2,4231
2020-04-21,Category_3,2236
2020-04-21,Category_4,2094
2020-04-21,Category_5,6322
2020-04-21,Category_6,3242
2020-04-21,Category_7,3326
2020-04-21,Category_8,3274
2020-04-22,Category_1,4438
2020-04-22,Category_2,4256
2020-04-22,Category_3,2254
2020-04-22,Category_4,2213
2020-04-22,Category_5,6383
2020-04-22,Category_6,3361
2020-04-22,Category_7,3460
2020-04-22,Category_8,3234
2020-04-23,Category_1,4370
2020-04-23,Category_2,4261
2020-04-23,Category_3,2347
2020-04-23,Category_4,2191
2020-04-23,Category_5,6422
2020-04-23,Category_6,3303
2020-04-23,Category_7,3447
2020-04-23,Category_8,3327
2020-04-24,Category_1,4431
2020-04-24,Category_2,4239
2020-04-24,Category_3,2189
2020-04-24,Category_4,2052
2020-04-24,Category_5,6286
2020-04-24,Category_6,3156
2020-04-24,Category_7,3502
2020-04-24,Category_8,3221
2020-04-25,Category_1,5761
2020-04-25,Category_2,5457
2020-04-25,Category_3,2863
2020-04-25,Category_4,2783
2020-04-25,Category_5,8226
2020-04-25,Category_6,4188
2020-04-25,Category_7,4441
2020-04-25,Category_8,4130
2020-04-26,Category_1,5672
2020-04-26,Category_2,5626
2020-04-26,Category_3,2860
